title,episodes,country,premiere_year,final_year,seasons,Original Channel,technique,final_year_filled,run_years,title_clean,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,year_diff,rating_norm,seasons_norm,votes_norm,success_score,is_successful,toy_products,avg_stars,total_reviews,bought_last_month,match_reliable,has_merch,imdb_norm,merch_norm,reviews_norm,franchise_score,is_franchise,netflix_popularity,netflix_vote_avg,netflix_vote_count,netflix_duration,on_netflix,is_franchise_final,theme,yt_has_content,yt_top10_total_views,yt_top10_avg_views,yt_video_count,years_since_premiere,log_votes_per_year,genre_animation,genre_family,genre_comedy,genre_adventure,genre_action,on_streaming,netflix_pop_filled,log_yt_views,title_has_high_animal,title_has_hero_keyword,title_word_count,title_has_character,country_grouped_Australia,country_grouped_Brazil,country_grouped_Canada,country_grouped_Coproduction,country_grouped_France,country_grouped_Germany,country_grouped_Other,country_grouped_South Korea,country_grouped_Spain,country_grouped_United Kingdom,country_grouped_United States,technique_grouped_CGI,technique_grouped_Flash,technique_grouped_Flash/Traditional,technique_grouped_Other,technique_grouped_Stop Motion,technique_grouped_Stop-motion,technique_grouped_Toon Boom Harmony,technique_grouped_Traditional,technique_grouped_Traditional/Flash,era_Golden Age (85-96),era_Modern (97-09),era_Streaming Era (2010+),dash_prob
Max Steel,35,Coproduction,2000.0,2002.0,3.0,Kids' WB,CGI,2002.0,2.0,max steel,tt0236908,tvSeries,Max Steel,Max Steel,0.0,2000.0,2002.0,30.0,"Action,Adventure,Animation",6.2,703.0,0.0,0.6075949367088607,0.0625,0.0010016227730106,0.2651633803767969,0,0.0,,,0.0,,0,0.6075949367088607,0.0,0.0,0.1215189873417721,0,46.043,7.775,69.0,1 Seasons,1,0,,1,84170101,8417010,10,24.0,0.2731990981732518,1,0,0,1,1,1,46.043,18.24835033302022,0,0,2,1,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,0.25648585
Ace Ventura: Pet Detective,41,Coproduction,1995.0,2000.0,3.0,Nickelodeon,Traditional,2000.0,5.0,ace ventura: pet detective,tt0115084,tvSeries,Ace Ventura: Pet Detective,Ace Ventura: Pet Detective,0.0,1995.0,2000.0,30.0,"Animation,Comedy,Family",5.6,1096.0,0.0,0.5316455696202531,0.0625,0.0015680080245116,0.2349252298542291,0,0.0,,,0.0,,0,0.5316455696202531,0.0,0.0,0.1063291139240506,0,0.0,,,,0,0,,1,75987941,7598794,10,29.0,0.24139084345776654,1,1,1,0,0,0,0.0,18.146085227768374,0,0,4,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,0.049601026
Adventures from the Book of Virtues,39,United States,1996.0,2000.0,3.0,PBS Kids,Traditional,2000.0,4.0,adventures from the book of virtues,tt0227868,tvSeries,Adventures from the Book of Virtues,Adventures from the Book of Virtues,0.0,1996.0,2009.0,30.0,"Adventure,Animation,Drama",7.1,504.0,0.0,0.721518987341772,0.0625,0.000714827187645,0.31066130173362,0,0.0,,,0.0,,0,0.721518987341772,0.0,0.0,0.1443037974683544,0,0.0,,,,0,0,,1,1819372,181937,10,28.0,0.22230565818840572,1,0,0,1,0,0,0.0,14.414002494202823,0,0,6,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,0.15556794
Shelldon,78,Coproduction,2009.0,2012.0,3.0,Qubo,CGI,2012.0,3.0,shelldon,tt1333922,tvSeries,Shelldon,Shelldon,0.0,2008.0,,22.0,"Animation,Family",6.7,62.0,1.0,0.670886075949367,0.0625,7.782392768715934e-05,0.2902488863616685,0,0.0,,,0.0,,0,0.670886075949367,0.0,0.0,0.1341772151898734,0,0.0,,,,0,0,,1,585545,58554,10,15.0,0.2762089817594355,1,1,0,0,0,0,0.0,13.280300024262594,0,0,1,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,0.0038139503
The Brak Show,30,United States,2001.0,2003.0,3.0,Adult Swim,Flash,2003.0,2.0,the brak show,tt0297512,tvSeries,The Brak Show,The Brak Show,0.0,2000.0,2007.0,15.0,"Animation,Comedy,Sci-Fi",7.1,4457.0,1.0,0.721518987341772,0.0625,0.0064118269311142,0.3120855516694873,0,0.0,,,0.0,,0,0.721518987341772,0.0,0.0,0.1443037974683544,0,0.0,,,,0,0,,1,5651516,565151,10,23.0,0.36532415278025276,1,0,1,0,0,0,0.0,15.547434562659358,0,0,3,1,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,0.012112368
The Lion Guard,74,United States,2016.0,2019.0,3.0,Disney Junior,Flash/Toon Boom[1],2019.0,3.0,the lion guard,tt3793630,tvSeries,The Lion Guard,The Lion Guard,0.0,2015.0,2019.0,30.0,"Action,Adventure,Animation",6.4,3487.0,1.0,0.6329113924050632,0.0625,0.0050138786004375,0.2762930266121346,0,3.0,4.33,90.0,350.0,True,1,0.6329113924050632,0.0072090628218331,0.0007788701190805,0.130741980562791,0,127.704,7.6,236.0,1 Seasons,1,1,lion,1,604173093,60417309,10,8.0,1.0196354731286088,1,0,0,1,1,1,127.704,20.219371294313234,0,1,3,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,0.9471734
What's with Andy?,78,Coproduction,2001.0,2007.0,3.0,Teletoon,Traditional,2007.0,6.0,what's with andy?,tt0289036,tvSeries,What's with Andy?,What's with Andy?,0.0,2001.0,2007.0,30.0,"Animation,Comedy,Family",7.6,4187.0,0.0,0.7848101265822783,0.0625,0.0060227072926784,0.3373047274560809,1,0.0,,,0.0,,0,0.7848101265822783,0.0,0.0,0.1569620253164556,0,0.0,,,,0,0,,1,3790839,379083,10,23.0,0.3626077639995838,1,1,1,0,0,0,0.0,15.14809818838491,0,0,3,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,0.033336148
Beast Wars: Transformers,52,Coproduction,1996.0,1999.0,3.0,"CBS, YTV",CGI,1999.0,3.0,beast wars: transformers,tt0115108,tvSeries,Beast Wars: Transformers,Beast Wars: Transformers,0.0,1996.0,1999.0,30.0,"Action,Adventure,Animation",8.1,9136.0,0.0,0.8481012658227846,0.0625,0.013155126146822,0.3644042878658193,1,0.0,,,0.0,,0,0.8481012658227846,0.0,0.0,0.1696202531645569,1,0.0,,,,0,0,,1,212141169,21214116,10,28.0,0.32571740653566505,1,0,0,1,1,0,0.0,19.172762507252184,0,0,3,1,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0.09065841
Beat Bugs,52,Coproduction,2016.0,2018.0,3.0,"7TWO, Netflix",CGI,2018.0,2.0,beat bugs,tt4716268,tvSeries,Beat Bugs,Beat Bugs,0.0,2016.0,2018.0,24.0,"Adventure,Animation,Comedy",7.5,608.0,0.0,0.7721518987341771,0.0625,0.0008647103076351,0.3309519370705796,1,0.0,,,0.0,,0,0.7721518987341771,0.0,0.0,0.1544303797468354,0,36.688,5.1,9.0,1 Seasons,1,0,,1,395016380,39501638,10,8.0,0.8014772834637371,1,0,1,1,0,1,36.688,19.79443779289158,0,0,2,1,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0.39725393
Ben 10: Alien Force,46,United States,2008.0,2010.0,3.0,Cartoon Network,Traditional,2010.0,2.0,ben 10: alien force,tt1192169,tvSeries,Ben 10: Alien Force,Ben 10: Alien Force,0.0,2008.0,2010.0,22.0,"Action,Adventure,Animation",7.6,18833.0,0.0,0.7848101265822783,0.0625,0.0271302859020513,0.3425816221084242,1,0.0,,,0.0,,0,0.7848101265822783,0.0,0.0,0.1569620253164556,0,0.0,,,,0,0,,1,356734080,35673408,10,16.0,0.6152136891293756,1,0,0,1,1,0,0.0,19.692501191041103,0,1,4,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,0.14739604
Ben 10: Ultimate Alien,52,United States,2010.0,2012.0,3.0,Cartoon Network,Traditional,2012.0,2.0,ben 10: ultimate alien,tt1622696,tvSeries,Ben 10: Ultimate Alien,Ben 10: Ultimate Alien,0.0,2010.0,2012.0,22.0,"Action,Adventure,Animation",7.8,15081.0,0.0,0.8101265822784809,0.0625,0.0217229641116398,0.3513563739393023,1,0.0,,,0.0,,0,0.8101265822784809,0.0,0.0,0.1620253164556961,1,134.149,8.2,826.0,1 Seasons,1,0,,1,376295283,37629528,10,14.0,0.6872326613401851,1,0,0,1,1,1,134.149,19.74588472293132,0,0,4,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,0.039013337
Spawn,18,United States,1997.0,1999.0,3.0,HBO,Traditional,1999.0,2.0,spawn,tt0118475,tvSeries,Spawn,Spawn,0.0,1997.0,1999.0,30.0,"Action,Adventure,Animation",8.0,11590.0,0.0,0.8354430379746834,0.0625,0.0166917913050496,0.3602251630161358,1,0.0,,,0.0,,0,0.8354430379746834,0.0,0.0,0.1670886075949367,1,0.0,,,,0,0,,1,384692574,38469257,10,27.0,0.3465920079218054,1,0,0,1,1,0,0.0,19.767955066782427,0,0,1,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,0.004705145
Nature Cat,76,Coproduction,2015.0,2021.0,3.0,"PBS Kids (United States), Discovery Kids (Latin American)",Flash,2021.0,6.0,nature cat,tt4947580,tvSeries,Nature Cat,Nature Cat,0.0,2015.0,2024.0,24.0,"Action,Adventure,Animation",7.3,512.0,0.0,0.7468354430379746,0.0625,0.0007263566584134,0.3207907663797932,1,0.0,,,0.0,,0,0.7468354430379746,0.0,0.0,0.1493670886075949,0,44.81,5.3,9.0,1 Seasons,1,0,cat,1,182337011,18233701,10,9.0,0.6933639827967522,1,0,0,1,1,1,44.81,19.021367247017366,0,0,2,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0.19947705
Ned's Newt,39,Coproduction,1997.0,1999.0,3.0,Teletoon,Traditional,1999.0,2.0,ned's newt,tt0163952,tvSeries,Ned's Newt,Ned's Newt,0.0,1997.0,1999.0,30.0,"Animation,Comedy,Family",6.4,615.0,0.0,0.6329113924050632,0.0625,0.0008747985945575,0.2752582566106646,0,0.0,,,0.0,,0,0.6329113924050632,0.0,0.0,0.1265822784810126,0,0.0,,,,0,0,,1,1043125,104312,10,27.0,0.23789803568642665,1,1,1,0,0,0,0.0,13.857732532055657,0,0,2,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,0.14726989
Dog City,31,Coproduction,1992.0,1994.0,3.0,Fox Kids,Traditional,1994.0,2.0,dog city,tt0120949,tvSeries,Dog City,Dog City,0.0,1992.0,1994.0,23.0,"Animation,Comedy,Family",7.2,476.0,0.0,0.7341772151898733,0.0625,0.0006744740399553,0.3157145045859381,0,0.0,,,0.0,,0,0.7341772151898733,0.0,0.0,0.1468354430379746,0,0.0,,,,0,0,dog,1,1583654450,158365445,10,32.0,0.19273489034026067,1,1,1,0,0,0,0.0,21.183000956919344,0,0,2,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,0.09447944
Skylanders Academy,38,Coproduction,2016.0,2018.0,3.0,Netflix,CGI,2018.0,2.0,skylanders academy,tt5916218,tvSeries,Skylanders Academy,Skylanders Academy,0.0,2016.0,2018.0,25.0,"Action,Adventure,Animation",6.8,1286.0,0.0,0.6835443037974682,0.0625,0.0018418329552627,0.2957531797578029,0,0.0,,,0.0,,0,0.6835443037974682,0.0,0.0,0.1367088607594936,0,0.0,,,,0,0,,1,10830837,1083083,10,8.0,0.8950086509495159,1,0,0,1,1,0,0.0,16.19790799363834,0,0,2,1,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0.33656025
Solar Opposites,27,United States,2020.0,,3.0,Hulu,Flash,2023.0,3.0,solar opposites,tt8910922,tvSeries,Solar Opposites,Solar Opposites,0.0,2020.0,2025.0,22.0,"Adventure,Animation,Comedy",7.9,36715.0,0.0,0.8227848101265822,0.0625,0.0529015354372695,0.3642143079099502,1,0.0,,,0.0,,0,0.8227848101265822,0.0,0.0,0.1645569620253164,1,80.725,7.782,509.0,1 Seasons,1,0,,1,66752449,6675244,10,4.0,2.6277419765847454,1,0,1,1,0,1,80.725,18.016501558690905,0,0,2,1,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,0.27036774
Timon & Pumbaa,86,United States,1995.0,1999.0,3.0,"Syndication, CBS, Toon Disney",Traditional,1999.0,4.0,timon & pumbaa,tt0112197,tvSeries,Timon & Pumbaa,Timon & Pumbaa,0.0,1995.0,1999.0,22.0,"Adventure,Animation,Comedy",7.0,12278.0,0.0,0.7088607594936708,0.0625,0.0176833257911378,0.3098401352452528,0,0.0,,,0.0,,0,0.7088607594936708,0.0,0.0,0.1417721518987341,0,0.0,,,,0,0,,1,866534984,86653498,10,29.0,0.3246774401779487,1,0,1,1,0,0,0.0,20.58001304137701,0,0,3,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,0.20295887
Big Hero 6: The Series,56,United States,2017.0,2021.0,3.0,"Disney XD, Disney Channel",Traditional,2021.0,4.0,big hero 6: the series,tt5515212,tvSeries,Big Hero 6: The Series,Big Hero 6: The Series,0.0,2017.0,2021.0,21.0,"Action,Adventure,Animation",7.2,3102.0,0.0,0.7341772151898733,0.0625,0.004459022819705,0.3166606417808755,0,1.0,3.2,0.0,0.0,True,1,0.7341772151898733,0.0,0.0,0.1468354430379746,0,0.0,,,,0,0,superhero,1,1013013374,101301337,10,7.0,1.14858923777834,1,0,0,1,1,0,0.0,20.736195265482163,0,1,5,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,0.19579181
Tiny Toon Adventures,98,United States,1990.0,1995.0,3.0,"Syndication, Fox Kids",Traditional,1995.0,5.0,tiny toon adventures,tt0098929,tvSeries,Tiny Toon Adventures,Tiny Toon Adventures,0.0,1990.0,1992.0,21.0,"Adventure,Animation,Comedy",7.5,15213.0,0.0,0.7721518987341771,0.0625,0.0219132003793195,0.3362140595885007,1,0.0,,,0.0,,0,0.7721518987341771,0.0,0.0,0.1544303797468354,0,0.0,,,,0,0,,1,44284716,4428471,10,34.0,0.28323445104580136,1,0,1,1,0,0,0.0,17.60615018677975,0,0,3,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,0.15848137
Biker Mice from Mars,65,United States,1993.0,1996.0,3.0,Syndication,Traditional,1996.0,3.0,biker mice from mars,tt0147752,tvSeries,Biker Mice from Mars,Biker Mice from Mars,0.0,1993.0,1996.0,30.0,"Action,Adventure,Animation",7.0,5350.0,0.0,0.7088607594936708,0.0625,0.0076988041056445,0.3073440048238794,0,0.0,,,0.0,,0,0.7088607594936708,0.0,0.0,0.1417721518987341,0,0.0,,,,0,0,,1,24749486,2474948,10,31.0,0.27693673349391307,1,0,0,1,1,0,0.0,17.024315319491432,0,0,4,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,0.2973041
Watership Down,39,Canada,1999.0,2001.0,3.0,"YTV, CITV",Traditional,2001.0,2.0,watership down,tt0211882,tvSeries,Watership Down,Watership Down,0.0,1999.0,2001.0,44.0,"Adventure,Animation,Family",7.6,1177.0,0.0,0.7848101265822783,0.0625,0.0016847439160423,0.3362202366119219,1,0.0,,,0.0,,0,0.7848101265822783,0.0,0.0,0.1569620253164556,0,0.0,,,,0,0,,1,482305849,48230584,10,25.0,0.2828629345684613,1,1,0,1,0,0,0.0,19.994089014345693,0,0,2,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,0.053569388
New Looney Tunes,156,United States,2015.0,2020.0,3.0,"Cartoon Network, Boomerang, Boomerang VOD (all USA only)",Flash/Traditional,2020.0,5.0,new looney tunes,tt4558858,tvSeries,New Looney Tunes,Wabbit: A Looney Tunes Production,0.0,2015.0,2020.0,11.0,"Adventure,Animation,Comedy",5.8,1408.0,0.0,0.5569620253164557,0.0625,0.0020176573844819,0.2451642244727027,0,0.0,,,0.0,,0,0.5569620253164557,0.0,0.0,0.1113924050632911,0,554.739,7.0,145.0,1 Seasons,1,0,,1,1395483086,139548308,10,9.0,0.8056261679887422,1,0,1,1,0,1,554.739,21.05650649119684,0,0,3,1,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,0.09435001
NFL Rush Zone,65,United States,2010.0,2014.0,3.0,Nicktoons,Traditional,2014.0,4.0,nfl rush zone,tt2553232,tvSeries,NFL Rush Zone,NFL Rush Zone,0.0,2010.0,2014.0,23.0,"Action,Animation,Comedy",6.2,141.0,0.0,0.6075949367088607,0.0625,0.0001916774515257,0.2649608940464257,0,0.0,,,0.0,,0,0.6075949367088607,0.0,0.0,0.1215189873417721,0,0.0,,,,0,0,,1,1868942,186894,10,14.0,0.35398764697151863,1,0,1,0,1,0,0.0,14.440883588380343,0,0,3,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,0.050895285
Martin Mystery,66,Coproduction,2003.0,2006.0,3.0,YTV,Traditional,2006.0,3.0,martin mystery,tt0374419,tvSeries,Martin Mystery,Martin Mystery,0.0,2003.0,2006.0,22.0,"Action,Adventure,Animation",7.5,3582.0,0.0,0.7721518987341771,0.0625,0.0051507910658131,0.3320234572601241,1,0.0,,,0.0,,0,0.7721518987341771,0.0,0.0,0.1544303797468354,0,0.0,,,,0,0,,1,5432226,543222,10,21.0,0.38971217701452165,1,0,0,1,1,0,0.0,15.507859736743688,0,0,2,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,0.19946761
Woozle & Pip,39,Netherlands,2010.0,2015.0,3.0,KRO,Flash,2015.0,5.0,woozle & pip,tt12879180,tvSeries,Woozle & Pip,Woezel & Pip,0.0,2010.0,,5.0,"Animation,Family,Short",7.3,14.0,0.0,0.7468354430379746,0.0625,8.647103076351039e-06,0.3206113389909589,1,0.0,,,0.0,,0,0.7468354430379746,0.0,0.0,0.1493670886075949,0,0.0,,,,0,0,,1,8857067,885706,10,14.0,0.19343215722158644,1,1,0,0,0,0,0.0,15.996726342305434,0,0,3,1,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0.002825207
Fifi and the Flowertots,121,United Kingdom,2005.0,2007.0,3.0,"Channel 5 (United Kingdom), Nick Jr. (United Kingdom), Discovery Kids (Latin American)",Stop Motion,2007.0,2.0,fifi and the flowertots,tt0484802,tvSeries,Fifi and the Flowertots,Fifi and the Flowertots,0.0,2005.0,2010.0,10.0,"Animation,Family",5.4,413.0,0.0,0.5063291139240507,0.0625,0.0005836794576536,0.2245525654340337,0,0.0,,,0.0,,0,0.5063291139240507,0.0,0.0,0.1012658227848101,0,0.0,,,,0,0,,1,14741116,1474111,10,19.0,0.3171508407276481,1,1,0,0,0,0,0.0,16.50615122204425,0,0,4,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0.012204896
Fish Hooks,110,United States,2010.0,2014.0,3.0,Disney Channel,Flash,2014.0,4.0,fish hooks,tt1725902,tvSeries,Fish Hooks,Fish Hooks,0.0,2010.0,2014.0,22.0,"Adventure,Animation,Comedy",5.0,4694.0,0.0,0.4556962025316455,0.0625,0.0067533875026301,0.2058418278883158,0,0.0,,,0.0,,0,0.4556962025316455,0.0,0.0,0.0911392405063291,0,49.955,6.5,80.0,1 Seasons,1,0,fish,1,1247556475,124755647,10,14.0,0.6038752422601688,1,0,1,1,0,1,49.955,20.944452655907916,0,0,2,1,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,0.071470164
Flipper and Lopaka,78,Australia,1999.0,2005.0,3.0,"Seven Network, ABC3",Traditional,2005.0,6.0,flipper and lopaka,tt0341775,tvSeries,Flipper and Lopaka,Flipper & Lopaka,0.0,1999.0,2005.0,30.0,"Adventure,Animation,Comedy",6.2,420.0,0.0,0.6075949367088607,0.0625,0.0005937677445761,0.2650614166196883,0,0.0,,,0.0,,0,0.6075949367088607,0.0,0.0,0.1215189873417721,0,0.0,,,,0,0,,1,3121046,312104,10,25.0,0.24170531334729525,1,0,1,1,0,0,0.0,14.9536790804154,0,0,3,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,0.06413383
Newbie and the Disasternauts,39,Brazil,2011.0,2012.0,3.0,TV Rá-Tim-Bum,Flash,2012.0,1.0,newbie and the disasternauts,tt1860965,tvSeries,Newbie and the Disasternauts,Nilba e os Desastronautas,0.0,2010.0,,23.0,"Animation,Comedy,Family",7.9,73.0,1.0,0.8227848101265822,0.0625,9.367694999380292e-05,0.3510123432881313,1,0.0,,,0.0,,0,0.8227848101265822,0.0,0.0,0.1645569620253164,1,0.0,,,,0,0,,1,636475,63647,10,13.0,0.33108193024647464,1,1,1,0,0,0,0.0,13.363701990062888,0,0,4,1,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0.014355795
3-2-1 Penguins!,27,Coproduction,2000.0,2008.0,3.0,Direct to video/Qubo,CGI,2008.0,8.0,3-2-1 penguins!,tt1114703,tvSeries,3-2-1 Penguins!,3-2-1 Penguins!,0.0,2000.0,2008.0,30.0,"Adventure,Animation,Comedy",6.6,348.0,0.0,0.6582278481012657,0.0625,0.0004900025076598,0.2852886398674212,0,0.0,,,0.0,,0,0.6582278481012657,0.0,0.0,0.1316455696202531,0,0.0,,,,0,0,,1,4756855,475685,10,24.0,0.2439613300917678,1,0,1,1,0,0,0.0,15.375097503776923,0,0,2,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,0.10457259
Fancy Nancy,51,United States,2018.0,2022.0,3.0,Disney Junior,CGI,2022.0,4.0,fancy nancy,tt2229129,tvSeries,Fancy Nancy,Fancy Nancy,0.0,2018.0,2022.0,22.0,"Adventure,Animation,Comedy",5.3,557.0,0.0,0.4936708860759493,0.0625,0.0007912099314861,0.2195411569132512,0,5.0,4.56,0.0,100.0,True,1,0.4936708860759493,0.0020597322348094,0.0,0.099867029944335,0,186.365,6.5,15.0,1 Seasons,1,1,,1,1116405749,111640574,10,6.0,1.0540598270635517,1,0,1,1,0,1,186.365,20.833380210096877,0,0,2,1,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,0.93124485
The Ricky Gervais Show,39,Coproduction,2010.0,2012.0,3.0,HBO,Flash,2012.0,2.0,the ricky gervais show,tt1553644,tvSeries,The Ricky Gervais Show,The Ricky Gervais Show,0.0,2010.0,2012.0,30.0,"Animation,Comedy,Talk-Show",8.4,17698.0,0.0,0.8860759493670886,0.0625,0.0254945422367749,0.3826790153060291,1,0.0,,,0.0,,0,0.8860759493670886,0.0,0.0,0.1772151898734177,1,29.349,7.2,109.0,1 Seasons,1,0,,1,43302454,4330245,10,14.0,0.6986616728421967,1,0,1,0,0,1,29.349,17.583719888825062,0,0,4,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0.025292754
¡Mucha Lucha!,52,United States,2002.0,2005.0,3.0,Kids' WB,Flash,2005.0,3.0,¡mucha lucha!,tt0353115,tvSeries,¡Mucha Lucha!,¡Mucha Lucha!,0.0,2002.0,2005.0,22.0,"Action,Adventure,Animation",5.8,3858.0,0.0,0.5569620253164557,0.0625,0.0055485578073252,0.2460469495784135,0,0.0,,,0.0,,0,0.5569620253164557,0.0,0.0,0.1113924050632911,0,0.0,,,,0,0,,1,53195434,5319543,10,22.0,0.3753710618880736,1,0,0,1,1,0,0.0,17.789483142359455,0,0,2,0,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,0.055005997
